agreement_type,agreement,signed,entered_into_force,eoi,PARTNER_COUNTRY_CODE,PARENT_COUNTRY_CODE
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,VGB,AND
DTC,DTC AE DZ,2001-04-24,2001-11-28,Uncertain,DZA,ARE
DTC,DTC AD AE,2015-07-28,,Uncertain,AND,ARE
DTC,DTC AE AM,2002-04-22,2004-12-29,Uncertain,ARM,ARE
DTC,DTC AE AT,2003-09-22,2004-09-01,Uncertain,AUT,ARE
DTC,DTC AE AZ,2006-11-20,2007-04-30,Uncertain,AZE,ARE
DTC,DTC AE BD,2011-01-17,,Uncertain,BGD,ARE
DTC,DTC AE BY,2000-02-27,2001-06-02,Uncertain,BLR,ARE
DTC,DTC AE BE,1996-09-30,2004-01-06,Uncertain,BEL,ARE
DTC,DTC AE BZ,2015-10-02,,Uncertain,BLZ,ARE
DTC,DTC AE BA,2006-09-18,2007-04-30,Uncertain,BIH,ARE
DTC,DTC AE BN,2013-05-21,2014-11-21,Uncertain,BRN,ARE
DTC,DTC AE BG,2007-06-26,2008-01-22,Uncertain,BGR,ARE
DTC,DTC AE CA,2002-06-09,2004-01-07,Uncertain,CAN,ARE
DTC,DTC AE CN,1993-07-01,1994-06-05,Uncertain,CHN,ARE
DTC,DTC AE KM,2015-03-26,,Uncertain,COM,ARE
DTC,DTC AE CY,2011-02-27,2014-01-01,Uncertain,CYP,ARE
DTC,DTC AE CZ,1996-09-30,1997-08-09,Uncertain,CZE,ARE
TIEA,TIEA AE DK,2015-11-04,,On Request,DNK,ARE
DTC,DTC AE EG,1994-12-04,1995-03-26,Uncertain,EGY,ARE
DTC,DTC AE EE,2011-04-20,2012-03-29,Uncertain,EST,ARE
DTC,DTC AE FJ,2012-08-01,,Uncertain,FJI,ARE
DTC,DTC AE FI,1996-03-12,1997-02-24,Uncertain,FIN,ARE
DTC,DTC AE FR,1989-07-19,1989-11-15,Uncertain,FRA,ARE
DTC,DTC AE GE,2010-11-25,2011-04-28,Uncertain,GEO,ARE
DTC,DTC AE DE,2010-07-01,2011-02-01,Uncertain,DEU,ARE
DTC,DTC AE GR,2010-01-18,,Uncertain,GRC,ARE
DTC,DTC AE GN,2011-11-13,,Uncertain,GIN,ARE
DTC,DTC AE HU,2013-04-30,2014-10-04,Uncertain,HUN,ARE
DTC,DTC AE IN,1992-04-29,1993-09-22,Uncertain,IND,ARE
DTC,DTC AE ID,1995-11-30,1996-11-08,Uncertain,IDN,ARE
DTC,DTC AE IE,2010-07-01,2011-06-02,Uncertain,IRL,ARE
DTC,DTC AE IT,1995-01-22,1997-11-05,Uncertain,ITA,ARE
DTC,DTC AE JP,2013-05-02,2014-12-24,Uncertain,JPN,ARE
DTC,DTC AE KZ,2008-12-22,2009-06-30,Uncertain,KAZ,ARE
DTC,DTC AE KE,2011-11-11,,Uncertain,KEN,ARE
DTC,DTC AE KG,2014-12-07,,Uncertain,KGZ,ARE
DTC,DTC AE LV,2012-03-11,2013-06-11,Uncertain,LVA,ARE
DTC,DTC AE LB,1998-05-17,1998-10-25,Uncertain,LBN,ARE
DTC,DTC AE LY,2013-04-01,,Uncertain,LBY,ARE
DTC,DTC AE LT,2013-06-30,2014-12-19,Uncertain,LTU,ARE
DTC,DTC AE LU,2005-11-20,2009-06-19,Uncertain,LUX,ARE
DTC,DTC AE MK,2015-10-26,,Uncertain,MKD,ARE
DTC,DTC AE MY,1995-11-28,1996-09-18,Uncertain,MYS,ARE
DTC,DTC AE MT,2006-03-13,2007-05-18,Uncertain,MLT,ARE
DTC,DTC AE MR,2015-10-21,,Uncertain,MRT,ARE
DTC,DTC AE MU,2006-09-18,2007-07-31,Uncertain,MUS,ARE
DTC,DTC AE MX,2012-11-20,,Uncertain,MEX,ARE
DTC,DTC AE MN,2001-02-21,2002-11-29,Uncertain,MNG,ARE
DTC,DTC AE ME,2012-03-26,,Uncertain,MNE,ARE
DTC,DTC AE MA,1999-02-09,1999-09-26,Uncertain,MAR,ARE
DTC,DTC AE MZ,2003-09-24,2004-05-04,Uncertain,MOZ,ARE
DTC,DTC AE NL,2007-05-08,2010-06-02,Uncertain,NLD,ARE
DTC,DTC AE NZ,2003-10-22,2004-05-04,Uncertain,NZL,ARE
TIEA,TIEA AE NO,2015-11-03,,On Request,NOR,ARE
DTC,DTC AE PK,1993-02-07,1994-01-29,Uncertain,PAK,ARE
DTC,DTC AE PA,2012-10-13,2013-10-23,Uncertain,PAN,ARE
DTC,DTC AE PH,2003-09-21,2008-10-02,Uncertain,PHL,ARE
DTC,DTC AE PL,1993-01-31,2004-01-29,Uncertain,POL,ARE
DTC,DTC AE PT,2011-01-17,2012-05-22,Uncertain,PRT,ARE
DTC,DTC AE RO,1993-04-11,1996-01-09,Uncertain,ROU,ARE
DTC,DTC AE SN,2015-10-22,,Uncertain,SEN,ARE
DTC,DTC AE RS,2013-01-13,2013-07-02,Uncertain,SRB,ARE
DTC,DTC AE SC,2006-09-18,2007-04-23,Uncertain,SYC,ARE
DTC,DTC AE SG,1995-12-01,1996-08-30,Uncertain,SGP,ARE
DTC,DTC AE SK,2015-12-21,,Uncertain,SVK,ARE
DTC,DTC AE SI,2013-10-12,2014-08-27,Uncertain,SVN,ARE
DTC,DTC AE ZA,2015-11-23,,Uncertain,ZAF,ARE
DTC,DTC AE KR,2003-09-22,2004-05-04,Uncertain,KOR,ARE
DTC,DTC AE ES,2006-02-04,2007-04-02,Uncertain,ESP,ARE
DTC,DTC AE LK,1992-07-07,2004-05-04,Uncertain,LKA,ARE
DTC,DTC AE SD,2001-03-15,2001-11-28,Uncertain,SDN,ARE
TIEA,TIEA AE SE,2015-11-05,,On Request,SWE,ARE
DTC,DTC AE CH,2011-10-06,2012-10-21,Uncertain,CHE,ARE
DTC,DTC AE SY,2000-01-26,2000-06-11,Uncertain,SYR,ARE
DTC,DTC AE TJ,1995-12-17,2000-01-29,Uncertain,TJK,ARE
DTC,DTC AE TH,2000-03-01,2000-11-12,Uncertain,THA,ARE
DTC,DTC AE TN,1996-04-10,1997-02-24,Uncertain,TUN,ARE
DTC,DTC AE TR,1993-01-29,1994-01-29,Uncertain,TUR,ARE
DTC,DTC AE TM,1998-06-09,1999-11-24,Uncertain,TKM,ARE
DTC,DTC AE UG,2015-06-09,,Uncertain,UGA,ARE
DTC,DTC AE UA,2003-01-22,2004-03-08,Uncertain,UKR,ARE
FATCA,FATCA US AE,,2014-06-30,Automatic,USA,ARE
DTC,DTC AE UY,2014-10-10,,Uncertain,URY,ARE
DTC,DTC AE UZ,2007-10-26,2008-09-28,Uncertain,UZB,ARE
DTC,DTC AE VE,2010-12-11,2011-03-28,Uncertain,VEN,ARE
DTC,DTC AE VN,2009-02-16,2009-10-11,Uncertain,VNM,ARE
DTC,DTC AE YE,2001-02-13,2001-08-25,Uncertain,YEM,ARE
DTC,DTC AF IN,2005-11-13,2010-05-19,Uncertain,IND,AFG
DTC,DTC AF KW,2009-11-18,2013-06-24,Uncertain,KWT,AFG
DTC,DTC AF PK,2005-11-13,2010-05-29,Uncertain,PAK,AFG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ALB,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AND,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,AIA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ARG,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ABW,ATG
TIEA,TIEA AG AW,2010-08-30,2013-12-01,On Request,ABW,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUS,ATG
TIEA,TIEA AG AU,2007-01-30,2009-12-14,On Request,AUS,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUT,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BRB,ATG
DTC,DTC AG BB,1994-07-06,1994-11-30,Uncertain,BRB,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BEL,ATG
TIEA,TIEA AG BE ,2009-12-07,,On Request,BEL,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,BLZ,ATG
DTC,DTC AG BZ,1994-07-06,1994-11-30,Uncertain,BLZ,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BMU,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BGR,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CAN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYM,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHL,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,COK,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,ATG
TIEA,TIEA AG CW,2009-10-29,2013-12-05,On Request,CUW,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,ATG
TIEA,TIEA AG DK,2009-09-02,2011-02-23,On Request,DNK,ATG
DTC,DTC AG DM,1994-07-06,1994-11-30,Uncertain,DMA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,ATG
TIEA,TIEA AG FO,2010-05-19,,On Request,FRO,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,ATG
TIEA,TIEA AG FI,2010-05-19,2011-03-24,On Request,FIN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,ATG
TIEA,TIEA AG FR,2010-03-26,2010-12-28,On Request,FRA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DEU,ATG
TIEA,TIEA AG DE,2010-10-19,2012-05-30,On Request,DEU,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GHA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GIB,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRC,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GRL,ATG
TIEA,TIEA AG GL,2010-05-19,,On Request,GRL,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,GRD,ATG
DTC,DTC AG GD,1994-07-06,1994-11-30,Uncertain,GRD,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GGY,ATG
DTC,DTC AG GY,1994-07-06,1994-11-30,Uncertain,GUY,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HUN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ISL,ATG
TIEA,TIEA AG IS,2010-05-19,,On Request,ISL,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IND,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,IDN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IRL,ATG
TIEA,TIEA AG IE,2009-12-15,2011-03-04,On Request,IRL,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,IMN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ITA,ATG
DTC,DTC AG JM,1994-07-06,1994-11-30,Uncertain,JAM,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,JPN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,JEY,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LVA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LIE,ATG
TIEA,TIEA AG LI,2009-11-24,2011-01-16,On Request,LIE,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LTU,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,LUX,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MYS,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MLT,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MHL,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MUS,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MEX,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,MCO,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,MSR,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NLD,ATG
TIEA,TIEA AG NL,2009-09-02,2010-02-23,On Request,NLD,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,NZL,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NIU,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,NOR,ATG
TIEA,TIEA AG NO,2010-05-19,2011-01-15,On Request,NOR,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,POL,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,PRT,ATG
TIEA,TIEA AG PT,2010-09-13,,On Request,PRT,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ROU,ATG
DTC,DTC AG KN,1994-07-06,1994-11-30,Uncertain,KNA,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,LCA,ATG
DTC,DTC AG LC,1994-07-06,1994-11-30,Uncertain,LCA,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,VCT,ATG
DTC,DTC AG VC,1994-07-06,1994-11-30,Uncertain,VCT,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,WSM,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SMR,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SYC,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,SXM,ATG
TIEA,TIEA AG SX,2009-10-29,2013-12-05,On Request,SXM,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVK,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,SVN,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ZAF,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,KOR,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ESP,ATG
Multilateral,MCAA ,2014-10-29,2017-09-01,Automatic,SWE,ATG
TIEA,TIEA AG SE,2010-05-19,2013-06-01,On Request,SWE,ATG
DTC,DTC AG SE,1963-08-20,1961-01-01,Uncertain,SWE,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHE,ATG
DTC,DTC AG CH,1963-08-26,1963-08-26,Uncertain,CHE,ATG
DTC,DTC AG TT,1994-07-06,1994-11-30,Uncertain,TTO,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,TCA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,GBR,ATG
TIEA,TIEA AG GB,2010-01-19,2011-05-19,On Request,GBR,ATG
FATCA,FATCA US AG,,2014-06-30,Automatic,USA,ATG
TIEA,TIEA AG US,2001-12-06,2003-02-10,On Request,USA,ATG
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,VGB,ATG
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ALB,AIA
Multilateral,MCON-Amend,2013-12-01,2013-12-01,On Request,ALB,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AND,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ATG,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,ARG,AIA
Multilateral,MCON-Amend,2013-01-01,2013-01-01,On Request,ARG,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,ABW,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUS,AIA
Multilateral,MCON-Amend,2012-12-01,2012-12-01,On Request,AUS,AIA
TIEA,TIEA AI AU,2010-03-19,2011-02-17,On Request,AUS,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,AUT,AIA
Multilateral,MCON-Amend,2014-12-01,2014-12-01,On Request,AUT,AIA
Multilateral,MCON-Amend,2015-09-01,2015-09-01,On Request,AZE,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BRB,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BEL,AIA
Multilateral,MCON-Amend,2015-04-01,2015-04-01,On Request,BEL,AIA
TIEA,TIEA AI BE,2010-09-24,,On Request,BEL,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,BLZ,AIA
Multilateral,MCON-Amend,2013-09-01,2013-09-01,On Request,BLZ,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BMU,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,BGR,AIA
Multilateral,MCON-Amend,2016-07-01,2016-07-01,On Request,BGR,AIA
Multilateral,MCON-Amend,2015-06-30,2015-06-30,On Request,CMR,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CAN,AIA
Multilateral,MCON-Amend,2013-11-21,2013-11-21,On Request,CAN,AIA
TIEA,TIEA AI CA,2010-10-28,2011-10-12,On Request,CAN,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYM,AIA
Multilateral,MCON-Amend,2014-01-01,2014-01-01,On Request,CYM,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHL,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CHN,AIA
Multilateral,MCON-Amend,2016-02-01,2016-02-01,On Request,CHN,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,COL,AIA
Multilateral,MCON-Amend,2014-07-01,2014-07-01,On Request,COL,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,COK,AIA
Multilateral,MCAA,2014-10-29,2018-09-01,Automatic,CRI,AIA
Multilateral,MCON-Amend,2013-08-01,2013-08-01,On Request,CRI,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,HRV,AIA
Multilateral,MCON-Amend,2014-06-01,2014-06-01,On Request,HRV,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CUW,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CYP,AIA
Multilateral,MCON-Amend,2015-04-01,2015-04-01,On Request,CYP,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,CZE,AIA
Multilateral,MCON-Amend,2014-02-01,2014-02-01,On Request,CZE,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,DNK,AIA
Multilateral,MCON-Amend,2011-06-01,2011-06-01,On Request,DNK,AIA
TIEA,TIEA AI DK,2009-09-02,2011-03-11,On Request,DNK,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,EST,AIA
Multilateral,MCON-Amend,2014-11-01,2014-11-01,On Request,EST,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRO,AIA
TIEA,TIEA AI FO,2009-12-14,2011-08-20,On Request,FRO,AIA
Multilateral,MCON-Amend,2011-06-01,2011-06-01,On Request,FRO,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FIN,AIA
TIEA,TIEA AI FI,2009-12-14,2011-04-10,On Request,FIN,AIA
Multilateral,MCON-Amend,2010-12-21,2010-12-21,On Request,FIN,AIA
Multilateral,MCAA,2014-10-29,2017-09-01,Automatic,FRA,AIA
Multilateral,MCON-Amend,2012-04-01,2012-04-01,On Request,FRA,AIA
TIEA,TIEA AI FR,2010-12-27,2011-12-15,On Request,FRA,AIA
Multilateral,MCON-Amend,2011-06-01,2011-06-01,On Request,GEO,AIA
